10,0
0,96,0
0,92,0
0,88,0
0,84,0
0,8,0
0,76,0
0,72,0
0,68,0
0,64,0
0,6,0
0,56,0
0,52,0
0,48,0
0,44,0
0,4,0
0,36,0
0,32,0
0,28,0
0,24,0
0,2,0
0,16,0
0,12,0
0,08,2548
0,0399999999999999,0
0,0
-0,04,0
-0,0800000000000001,0
-0,12,0
-0,16,0
-0,2,0
-0,24,1274
-0,28,1274
-0,32,0
-0,36,637
-0,4,0
-0,44,0
-0,48,637
-0,52,1911
-0,56,637
-0,6,0
-0,64,1911
-0,68,0
-0,72,3822
-0,76,5096
-0,8,6370
-0,84,5096
-0,88,6370
-0,92,12103
-0,96,8918
-1,14651
-1,04,19747
-1,08,18473
-1,12,29939
-1,16,29302
-1,2,36309
-1,24,36946
-1,28,55419
-1,32,35035
-1,36,50323
-1,4,56693
-1,44,52234
-1,48,30576
-1,52,43316
-1,56,45864
-1,6,35035
-1,64,26117
-1,68,24843
-1,72,7644
-1,76,17836
-1,8,10192
-1,84,4459
-1,88,3185
-1,92,3185
-1,96,1911
-2,1911
-2,04,3822
-2,08,637
-2,12,1274
-2,16,637
-2,2,637
-2,24,0
-2,28,1911
-2,32,637
-2,36,0
-2,4,1274
-2,44,1911
-2,48,0
-2,52,637
-2,56,2548
-2,6,2548
-2,64,0
-2,68,1911
-2,72,3185
-2,76,1911
-2,8,1274
-2,84,2548
-2,88,637
-2,92,3185
-2,96,5733
-3,637
-3,04,1274
-3,08,3822
-3,12,4459
-3,16,2548
-3,2,637
-3,24,1274
-3,28,637
-3,32,637
-3,36,637
-3,4,1274
-3,44,1911
-3,48,1274
-3,52,0
-3,56,0
-3,6,1274
-3,64,637
-3,68,637
-3,72,637
-3,76,0
-3,8,0
-3,84,637
-3,88,0
-3,92,0
-3,96,0
-4,0
-4,04,0
-4,08,637
-4,12,0
-4,16,0
-4,2,0
-4,24,0
-4,28,1274
-4,32,637
-4,36,0
-4,4,0
-4,44,0
-4,48,0
-4,52,637
-4,56,0
-4,6,0
-4,64,0
-4,68,637
-4,72,0
-4,76,0
-4,8,637
-4,84,0
-4,88,0
-4,92,637
-4,96,0
-5,637
-5,04,0
-5,08,0
-5,12,637
-5,16,0
-5,2,637
-5,24,0
-5,28,637
-5,32,637
-5,36,0
-5,4,0
-5,44,0
-5,48,0
-5,52,0
-5,56,0
-5,6,0
-5,64,0
-5,68,0
-5,72,0
-5,76,0
-5,8,0
-5,84,0
-5,88,0
-5,92,0
-5,96,0
-6,0
-6,04,0
-6,08,0
-6,12,0
-6,16,0
-6,2,0
-6,24,0
-6,28,0
-6,32,0
-6,36,0
-6,4,0
-6,44,0
-6,48,0
-6,52,0
-6,56,0
-6,6,0
-6,64,0
-6,68,637
-6,72,0
-6,76,0
-6,8,0
-6,84,0
-6,88,0
-6,92,0
-6,96,0
-7,0
-7,04,0
-7,08,0
-7,12,0
-7,16,0
-7,2,0
-7,24,0
-7,28,0
-7,32,0
-7,36,0
-7,4,0
-7,44,0
-7,48,0
-7,52,0
-7,56,0
-7,6,0
-7,64,0
-7,68,0
-7,72,0
-7,76,0
-7,8,0
-7,84,0
-7,88,0
-7,92,0
-7,96,0
-8,0
-8,04,0
-8,08,0
-8,12,0
-8,16,0
-8,2,0
-8,24,0
-8,28,0
-8,32,0
-8,36,0
-8,4,0
-8,44,0
-8,48,0
-8,52,0
-8,56,0
-8,6,0
-8,64,0
-8,68,0
-8,72,0
-8,76,0
-8,8,0
-8,84,0
-8,88,0
-8,92,0
-8,96,0
-9,0
-10,0
